15-Mar-2012 12:00,2.2
15-Mar-2012 18:00,2.9
15-Mar-2012 06:00,3
16-Mar-2012 12:00,4
16-Mar-2012 18:00,4
17-Mar-2012 06:00,3.6
17-Mar-2012 12:00,4
17-Mar-2012 18:00,3.9
18-Mar-2012 12:00,2.2
18-Mar-2012 18:00,2.9
19-Mar-2012 06:00,3
19-Mar-2012 12:00,4
19-Mar-2012 18:00,4
20-Mar-2012 06:00,3.6
20-Mar-2012 12:00,4
20-Mar-2012 18:00,3.9
21-Mar-2012 12:00,2.2
21-Mar-2012 18:00,2.9
22-Mar-2012 06:00,3
22-Mar-2012 12:00,4
22-Mar-2012 18:00,4
23-Mar-2012 06:00,3.6
23-Mar-2012 12:00,4
23-Mar-2012 18:00,3.9
